"","par1","par2","par3","par4","par5","par6","par7","par8","par9","part10","par11","par12","meanGroup","facesDisplayTime","maskTime","groupChoice","id","trial","faceIdentity","SD","realSD","rating","rt","image","condition","condition1","music.rock","music.pop","live.city","live.town","eat.icecream","eat.hamburger","time.beach","time.pool","pet.cat","pat.dog","X30","threatSimilar","threatDifferent","immoralSimilar","immoralDifferent","selectionPrinciple","selectionNoWhy","selectionYesWhy","groupPrecentEstimate","iden1","iden2","iden3","iden4","iden5","ntb1","ntb2","ntb3","ntb4","ntb5","ntb6","ntb7","ntb8","ntb9","ntb10","enviroDifRace","enviroDifSes","enviroDifPoli","sd1","sd2","sd3","sd4","sd5","sd6","sd7","sd8","sd9","sd10","sd11","bigFiveExtraverted","bigFiveCritical","bigFiveCons","bigFiveNeuro","bigFiveOpen","bigFiveReserved","bigFiveWarm","bigFiveCareless","bigFiveCalm","bigFiceConventional","poli","age","sex","citizen","citizenText","liveUS","yearsUS","partUS","partUSText","black","latin","white","asian","other","edu","income","identscale","condition_bi","condition_biEffect"
"1",117,115,121,131,137,129,125,109,111,135,113,133,123,1.99647,0.00213313,1,10,1,2,1,9.9453,113,4.97306,12,"high","high",1,NA,1,NA,NA,1,1,NA,1,NA,NA,17,17,18,17,2,NA,"Normally I choose those that were most similar or interesting to me.",74,16,17,17,16,17,2,3,3,5,4,3,1,3,5,4,31,70,49,1,1,2,1,2,1,2,2,1,1,2,7,5,6,6,7,2,5,5,3,4,4,19,"female",1,NA,1,"n/a",2,NA,0,0,1,0,0,3,5,3.6,"Different Mean",1
"2",120,118,114,130,136,140,138,126,134,122,116,142,128,1.98418,0.000929716,1,10,12,4,1,9.9453,138,5.28279,43,"low","low",1,NA,1,NA,NA,1,1,NA,1,NA,NA,17,17,18,17,2,NA,"Normally I choose those that were most similar or interesting to me.",74,16,17,17,16,17,2,3,3,5,4,3,1,3,5,4,31,70,49,1,1,2,1,2,1,2,2,1,1,2,7,5,6,6,7,2,5,5,3,4,4,19,"female",1,NA,1,"n/a",2,NA,0,0,1,0,0,3,5,3.6,"Different Mean",1
"3",145,150,148,128,150,135,134,150,127,148,139,125,139.917,1.99011,0.000523447,1,10,23,4,1,9.78364,140,3.32769,35,"same","same",1,NA,1,NA,NA,1,1,NA,1,NA,NA,17,17,18,17,2,NA,"Normally I choose those that were most similar or interesting to me.",74,16,17,17,16,17,2,3,3,5,4,3,1,3,5,4,31,70,49,1,1,2,1,2,1,2,2,1,1,2,7,5,6,6,7,2,5,5,3,4,4,19,"female",1,NA,1,"n/a",2,NA,0,0,1,0,0,3,5,3.6,"Same Mean",-1
"4",126,146,118,130,124,144,140,120,142,122,134,138,132,1.99485,0.000342977,1,10,34,4,1,9.9453,132,1.05688,50,"same","same",1,NA,1,NA,NA,1,1,NA,1,NA,NA,17,17,18,17,2,NA,"Normally I choose those that were most similar or interesting to me.",74,16,17,17,16,17,2,3,3,5,4,3,1,3,5,4,31,70,49,1,1,2,1,2,1,2,2,1,1,2,7,5,6,6,7,2,5,5,3,4,4,19,"female",1,NA,1,"n/a",2,NA,0,0,1,0,0,3,5,3.6,"Same Mean",-1
"5",122,138,132,136,142,128,120,140,144,124,116,118,130,2.00034,0.000427652,0,10,45,1,1,9.9453,140,3.93518,7,"low","low",1,NA,1,NA,NA,1,1,NA,1,NA,NA,17,17,18,17,2,NA,"Normally I choose those that were most similar or interesting to me.",74,16,17,17,16,17,2,3,3,5,4,3,1,3,5,4,31,70,49,1,1,2,1,2,1,2,2,1,1,2,7,5,6,6,7,2,5,5,3,4,4,19,"female",1,NA,1,"n/a",2,NA,0,0,1,0,0,3,5,3.6,"Different Mean",1
"6",112,126,108,116,124,106,110,130,132,128,104,120,118,1.99124,0.000470988,1,10,47,3,1,9.9453,118,2.46047,28,"same","same",1,NA,1,NA,NA,1,1,NA,1,NA,NA,17,17,18,17,2,NA,"Normally I choose those that were most similar or interesting to me.",74,16,17,17,16,17,2,3,3,5,4,3,1,3,5,4,31,70,49,1,1,2,1,2,1,2,2,1,1,2,7,5,6,6,7,2,5,5,3,4,4,19,"female",1,NA,1,"n/a",2,NA,0,0,1,0,0,3,5,3.6,"Same Mean",-1
"7",128,104,114,106,103,103,105,120,127,108,123,103,112,1.99054,0.000496647,0,10,48,2,1,9.89949,122,1.2769,48,"low","low",1,NA,1,NA,NA,1,1,NA,1,NA,NA,17,17,18,17,2,NA,"Normally I choose those that were most similar or interesting to me.",74,16,17,17,16,17,2,3,3,5,4,3,1,3,5,4,31,70,49,1,1,2,1,2,1,2,2,1,1,2,7,5,6,6,7,2,5,5,3,4,4,19,"female",1,NA,1,"n/a",2,NA,0,0,1,0,0,3,5,3.6,"Different Mean",1
"8",122,136,138,142,140,120,144,128,124,132,118,116,130,1.99386,0.000597573,1,10,49,2,1,9.9453,140,1.95775,24,"low","low",1,NA,1,NA,NA,1,1,NA,1,NA,NA,17,17,18,17,2,NA,"Normally I choose those that were most similar or interesting to me.",74,16,17,17,16,17,2,3,3,5,4,3,1,3,5,4,31,70,49,1,1,2,1,2,1,2,2,1,1,2,7,5,6,6,7,2,5,5,3,4,4,19,"female",1,NA,1,"n/a",2,NA,0,0,1,0,0,3,5,3.6,"Different Mean",1
"9",122,134,110,130,112,108,132,118,114,126,106,128,120,1.99498,0.000416819,0,10,50,2,1,9.9453,120,3.74047,44,"same","same",1,NA,1,NA,NA,1,1,NA,1,NA,NA,17,17,18,17,2,NA,"Normally I choose those that were most similar or interesting to me.",74,16,17,17,16,17,2,3,3,5,4,3,1,3,5,4,31,70,49,1,1,2,1,2,1,2,2,1,1,2,7,5,6,6,7,2,5,5,3,4,4,19,"female",1,NA,1,"n/a",2,NA,0,0,1,0,0,3,5,3.6,"Same Mean",-1
"10",112,106,116,128,124,130,132,120,110,126,104,108,118,1.98918,0.000262293,1,10,2,3,1,9.9453,128,1.51234,45,"low","low",1,NA,1,NA,NA,1,1,NA,1,NA,NA,17,17,18,17,2,NA,"Normally I choose those that were most similar or interesting to me.",74,16,17,17,16,17,2,3,3,5,4,3,1,3,5,4,31,70,49,1,1,2,1,2,1,2,2,1,1,2,7,5,6,6,7,2,5,5,3,4,4,19,"female",1,NA,1,"n/a",2,NA,0,0,1,0,0,3,5,3.6,"Different Mean",1
